ID	Group	Gender	Age	Date	PopiTaskCondition	Popi_Ling_order	Popi_NonLing_RandomList	Screenshots_Nonling	OQPT_score	Experimenter	Exclude	Comments_general	Comments_PopiLing	Comments_PopiNonLing
1001	SwAD	female		2011-11-01	ling_only	1				Tin		Collected by Tin Nov 2011		
1004	SwAD	male		2011-11-01	ling_only	1				Tin		Collected by Tin Nov 2011		
1005	SwAD	female		2011-11-01	ling_only	1				Tin		Collected by Tin Nov 2011		
1006	SwAD	female		2011-11-01	ling_only	1				Tin		Collected by Tin Nov 2011	1006 has very compact and tight descriptions, perfectly exemplifying a Satellite-type language	
1007	SwAD	female		2011-11-01	ling_only	1				Tin		Collected by Tin Nov 2011	"1007 sometimes omits PATH information normally included (e.g. tgt_cherou, pgt_panrou, tre_cadmai); in those cases the semantic information is mostly MANNER"	
1008	SwAD	male		2011-11-01	ling_only	2				Tin		Collected by Tin Nov 2011		
1009	SwAD	female		2011-11-01	ling_only	2				Tin		Collected by Tin Nov 2011		
1010	SwAD	female		2011-11-01	ling_only	2				Tin		Collected by Tin Nov 2011		
1011	SwAD	female		2011-11-01	ling_only	2				Tin		Collected by Tin Nov 2011		
1012	SwAD	female		2011-11-01	ling_only	3				Tin		Collected by Tin Nov 2011		
1013	SwAD	female		2011-11-01	ling_only	3				Tin		Collected by Tin Nov 2011		
1014	SwAD	male		2011-11-01	ling_only	4				Tin		Collected by Tin Nov 2011		
1015	SwAD	female		2011-11-01	ling_only	4				Tin		Collected by Tin Nov 2011		
1016	SwAD	female		2011-11-01	ling_only	4				Tin		Collected by Tin Nov 2011		
1017	SwAD	female		2011-11-01	ling_only	4				Tin		Collected by Tin Nov 2011		
1018	SwAD	female		2011-11-01	ling_only	3				Tin		Collected by Tin Nov 2011		
1019	SwAD	female		2011-11-01	ling_only	4				Tin		Collected by Tin Nov 2011		
1020	SwAD	male		2011-11-01	ling_only	1				Tin		Collected by Tin Nov 2011		
