language,id,nbOccurrences,word,POS,SemCat1,SemCat2,SemValue,Comments
spa,19,849,Popi,N,figure,,,
spa,18,165,a,Prep,,,,
spa,51,100,abajo,Adv,path,,down,
spa,574,1,acaba,V,,,,
spa,364,1,acabe,V,,,,
spa,606,1,accidente,N,,,,
spa,450,16,acera,N,ground,,,
spa,566,1,acuerdo,N,,,,
spa,195,2,adentra,V,path,,into,
spa,434,9,adentro,Adv,path,,into,
spa,177,1,agarrado,Part,,,,
spa,363,6,ah,Interj,,,,
spa,234,3,ahora,Adv,,,,
spa,16,4,ahí,Adv,,,,
spa,11,96,al,,,,,
spa,286,5,algo,,,,,
spa,405,2,alguna,,,,,
spa,509,6,almacén,N,ground,,,
spa,469,5,alta,Adj,,,,
spa,197,48,alto,Adj,,,,
spa,148,6,amarilla,Adj,,,,
spa,483,1,amarillo,Adj,,,,
spa,103,2,ambos,,,,,
spa,560,2,andando,VGer,agent_manner,,,
spa,860,1,anterior,,,,,
spa,544,4,antes,,,,,
spa,592,1,anómalo,,,,,
spa,880,1,aparece,,,,,
spa,575,12,aquí,,,,,
spa,222,46,arena,N,ground,,,
spa,187,141,arrastra,V,cause_manner,object_manner,,SemCat?
spa,472,1,arrastraba,V,cause_manner,object_manner,,
spa,3,38,arrastrado,V,cause_manner,object_manner,,POS?
spa,100,147,arrastrando,VGer,cause_manner,object_manner,,
spa,661,1,arrastrar,VInf,cause_manner,object_manner,,POS?
spa,862,1,arrastrarlo,VInf,cause_manner,object_manner,,POS?
spa,836,1,arrastrándo,VGer,cause_manner,object_manner,,
spa,225,5,arrastrándola,VGer,cause_manner,object_manner,,
spa,292,7,arrastrándolo,VGer,cause_manner,object_manner,,
spa,269,46,arriba,Adv,path,,up,
spa,772,1,ascendiendo,VGer,path,,up,
spa,780,5,asciende,V,path,,up,
spa,779,4,asfaltar,,,,,
spa,232,7,así,,,,,
spa,824,2,atado,,,,,
spa,382,7,atravesado,V,path,,across,POS?
spa,446,17,atravesando,VGer,path,,across,
spa,474,4,atravesar,Vinf,path,,across,POS?
spa,374,10,atraviesa,V,path,,across,
spa,702,1,atrás,,,,,
spa,367,1,aunque,,,,,
spa,891,2,automóvil,N,figure,,,
spa,248,1,avanza,V,,,,
spa,815,1,ayuda,,,,,
spa,811,1,ayudado,,,,,
spa,75,7,azul,,,,,
spa,180,105,baja,V,path,,down,
spa,275,80,bajado,V,path,,down,
spa,255,22,bajando,VGer,path,,down,
